francais,espanol
SYS,SYS
prochain,siguiente
Sciences,Ciencias
atomes,átomos
BASIC,BASIC
optimisme,optimismo
Fabrication,fabricación
Interactif,interactivo
Wells,Wells
déployé,desplegado
intensif,intensivo
blessure,lesión
provincial,provincial
exceptionnellement,excepcionalmente
EIS,EIS
Table,mesa
faire face,hacer frente a
Vatican,Vaticano
profils,perfiles
avec précision,exactamente
méfait,fechoría
intégrale,integral
supposant,asumiendo
Gerald,Gerald
Congrès,congreso
accomplir,lograr
réparations,reparaciones
Prendre,Comenzar
la plus ancienne,más antiguo
résolution,resolución
Hudson,Hudson
rentable,rentable
Richmond,Richmond
télécopie,fax
optimisation,optimización
îles,Islas
innovation,innovación
premier,primero
Jeff,Jeff
procédure,procedimiento
ET,Y
Fédérés,Federados
Québec,Quebec
réservations,Reservas
sous-systèmes,subsistemas
mandat,mandato
Mission,misión
particulièrement,particularmente
Fortune,fortuna
Turc,turco
inflationniste,inflacionista
niche,nicho
Franklin,Franklin
Opérations,Operaciones
orages,tormentas
conservateurs,Los conservadores
Kaboul,Kabul
Cuisinier,cocinero
dégringolé,caído
un jour,un día
nie,niega
Nicholas,Nicholas
Tard,tarde
débogage,Depuración
asynchrone,asincrónico
à temps plein,tiempo completo
pixel,pixel
expirer,caducar
publicités,publicidad
caractéristique,característica
RJR,RJR
refusant,negándose
Baltique,báltico
Stevens,Stevens
Wyoming,Wyoming
dioxyde,dióxido
Vous êtes,eres
DDE,DDE
tirer,halar
perçue,percibido
battu,batido
Télégraphe,telégrafo
montage,montaje
appariés,emparejado
chaise,silla
sentier,camino
contamination,contaminación
primes,Las primas
congrès,congreso
destination,destino
Walsh,Walsh
vide,vacío
festival,festival
Subvention,subvención
marchand,comerciante
différemment,diferentemente
mailing,envío
moments,veces
prestation,beneficio
expire,expira
couleur,color
Archives,archivo
Roy,Roy
fatigué,atropellar
tranquillement,tranquilamente
probabilité,probabilidad
Raymond,Raymond
centralisée,centralizado
changements,cambios
Stratégique,estratégico
encre,tinta
Leader,líder
blocage,bloqueo
dons,regalos
construire,construir
Autriche,Austria
indications,indicaciones
forces,fuerzas
Midland,Midland
coton,algodón
chemins,caminos
discipline,disciplina
peintures,pinturas
Cap,capa
Claris,Claris
Parker,Parker
connecte,Conexiones
Haut,superior
étrange,extraño
modifié,modificado
Macintosh,Macintosh
rang,rango
débarrasser,eliminar
accompagnement,acompañamiento
associés,asociado
sentiments,sentimientos
Pf,Pf
journaliste,reportero
Capt,Capt
diagrammes,diagramas
DOE,DOE
influencé,influenciado
seuil,umbral
fatal,fatal
supercalculateur,supercomputadora
guerres,guerras
uniquement,sólo
surligner,punto culminante
de droite,derechista
autorisation,autorización
judiciaire,judicial
députés,Diputados
génétique,genético
racines,raíces
talent,talento
jouet,juguete
détermine,determina
traduire,traducir
Homme,hombre
strictement,estrictamente
origine,origen
affecte,afectar
pharmaceutique,farmacéutico
se étend,se extiende
Des centaines,cientos
sport,deporte
saisonnier,estacional
Khmer,Khmer
injonction,interdicto
emprunté,prestado
intellectuel,intelectual
Voie,carril
frontières,límite
universel,universal
cou,cuello
Boesky,Boesky
ingérence,interferencia
remplace,reemplaza
interprète,intérprete
main-d'œuvre,personal
parfaitement,perfectamente
imposer,imponer
milieu de gamme,gama media
portabilité,portabilidad
bande,tira
Net,neto
concédé,concedido
messagerie,mensajería
provisoire,provisional
Militaire,militar
Toutefois,Aún Así
Porte,puerta
plus petit,menor
jardin,jardín
Pince-monseigneur,Palanqueta
contesté,disputado
uni,unido
entrepôt,almacén
dactylographie,mecanografía
Internet,Internet
avion,avión
ce soir,esta noche
ordures,basura
homologues,contrapartes
touristique,turístico
actionnaires,accionistas
registres,archivos
Des milliers,miles
affectation,asignación
Orange,naranja
PaineWebber,PaineWebber
MA,Massachusetts
infection,infección
disque dur,disco duro
Murray,Murray
satisfaction,satisfacción
Est-,Est-
rassembler,reunir
mensonge,acostado
drame,drama
UAL,UAL
Auto,coche
conversion,conversión
satellites,satélites
leçon,lección
câblage,alambrado
révisions,las revisiones
hiérarchie,jerarquía
Traitement,tratamiento
haussier,toro
cuisine,cocina
Sur PC,ordenador personal
violer,violación
dépistage,proyección
Ortega,Ortega
exclusivement,exclusivamente
roulé,arrollado
Nécessite,requiere
à l'exclusion,Excluyendo
intégration,integración
Domestique,doméstico
Ajouter,Añadir
DAT,DAT
faire demi-tour,giro de vuelta
naval,naval
Honda,Honda
atteint,afectado
paires,pares
déclarer,declarar
contribuant,contribuyendo
junior,júnior
Huit,ocho
chauffé,calentado
apprécier,apreciar
attendu,esperado
payable,pagadero
daté,fechado
chercheur,investigador
incapacité,fracaso
traînée,rastro
micro-onde,microonda
se il vous plaît,por favor
abandonner,rendirse
classement,clasificación
t,t
défendeur,acusado
voyagé,viajado
médecins,Médicos
des prises de bénéfices,realización de beneficios
syndrome,síndrome
courses,carreras
pourriture,decaimiento
Minerai,mineral
Nous avions,tuvimos
Beverly,Beverly
convertis,convertido
balle,bala
intégrateurs,Integradores
robinet,grifo
œufs,huevos
Lockheed,Lockheed
allumettes,cerillas
accepte,acepta
FMI,FMI
confusion,confusión
gouttes,gotas
Hongrois,húngaro
Ferme,granja
modèle,modelo
Études,estudios
améliore,mejora
Canon,pistola
classique,clásico
Lignes,líneas
décalé,desplazado
Précédemment,previamente
patrouille,patrulla
ombre,sombra
perception,percepción
côtier,costero
Ressorts,muelles
permis,permitido
mélange,mezcla
Sel,sal
prévention,prevención
en vol,vuelo
décharge publique,vertedero
compression,compresión
insérer,insertar
cheval,caballo
coordonner,coordinar
exposition,exposición
incendie,fuego
Programmation,programación
intact,intacto
Icahn,Icahn
Récemment,recientemente
Ailleurs,en otra parte
Universel,universal
soja,soja
Liberté,libertad
Norvège,Noruega
accablant,abrumador
accéléré,acelerado
Supérieur,superior
Ariz,Ariz
déficits,déficit
TSR,TSR
Jeux olympiques,Juegos Olímpicos
plus récent,más reciente
précision,precisión
trafic,tráfico
Ryan,Ryan
Tenn,Tenn
Musique,música
coquilles,conchas
roulement,laminación
caoutchouc,caucho
confus,confundido
Honduras,Honduras
villages,pueblos
Écossais,escocés
Peu Importe,Lo Que Sea
joindre,unirse
Source,fuente
franc,franco
l'utilisateur final,el usuario final
Programmes,Programas
Réseaux,Redes
expliquant,explicando
économiquement,económicamente
principalement,principalmente
déploiement,despliegue
catalyseur,catalizador
sur place,en el sitio
définitif,final
GM,GM
gourmette,bordillo
expériences,experiencias
identifier,identificar
Yougoslavie,Yugoslavia
Ressource,recurso
virgule flottante,flotador
fuite,vuelo
Être,ser
ajouter,añadir
Sources,fuentes
extraction,extracción
citoyen,ciudadano
COM,COM
assemblé,ensamblado
débogueur,depurador
avis,aviso
fêtes,vacaciones
Joint,articulación
COBOL,COBOL
tirant,disparo
fini,terminado
faveurs,favores
Gephardt,Gephardt
Bonn,Bonn
boycottage,boicoteo
Planification,planificación
Court,corto
sans frais,sin cargo
châtiment,castigo
étiquetés,etiquetado
sceptique,escéptico
instantané,instantáneo
risqué,arriesgado
électoral,electoral
Photos,fotos
immobilier,bienes raíces
apparaissant,apareciendo
tolérance,tolerancia
Tim,Tim
Foods,Alimentos
À,A
plus courte,más corto
expiré,caducado
Printemps,primavera
localement,localmente
approchant,que se acerca
orbite,órbita
recherché,buscados
collèges,colegios
Pacte,pacto
généreux,generoso
patrie,país
candidats,candidatos
détermination de la peine,La sentencia
soufre,azufre
légalement,legalmente
Royaume,reino
Commission de,comisión
épaisseur,espesor
se concentre,concentrados
de quatre ans,cuatro años
Linda,Linda
recettes,ingresos
lingots,lingotes
Peabody,Peabody
nommé,nombrado
élimine,elimina
3e,tercero
Afrique de,África
techniquement,técnicamente
Oliver,Oliver
fidèle,fiel
siège,asiento
refus,negativa
Stockage,almacenamiento
emprunter,pedir prestado
Ralph,Ralph
Naval,naval
sûrement,seguramente
empire,imperio
EDS,EDS
Corps législatif,legislatura
cartel,cartel
Livre,libro
Statistiques,estadística
organiser,organizar
perdants,Perdedores
PNB,PNB
Sybase,Sybase
étagère,estante
minéral,mineral
comparaisons,Las comparaciones
minorités,minorías
divorce,divorcio
chant,canto
fermeture,cierre
développe,desarrolla
Collins,Collins
Son,su
Ted,Ted
Barney,Barney
tourmente,tormenta
lancement,lanzamiento
FTS,FTS
Suivant,siguiente
informel,informal
syntaxe,sintaxis
Production,producción
fournisseurs,proveedores
défense,defensa
fleurs,flores
attribut,atributo
découvrir,descubrir
Théâtre,teatro
pain,pan
grandes lignes,contornos
enjeux,cuestiones
passif,pasivo
pro-démocratie,favor de la democracia
Basse,bajo
Divertissement,entretenimiento
demandeurs,Los solicitantes
Rôle,papel
factions,facciones
Il va,va a
occasionnel,ocasional
envahi,invadido
Carte,mapa
édicté,promulgado
loterie,lotería
rsqb,rsqb
simple,simple
douches,duchas
naturellement,naturalmente
Autrement,de otra manera
capitaine,capitán
OPA,OPA
tacheté,manchado
douloureux,doloroso
commissions,Comisiones
conseils,asesoramiento
VINES,VINES
hall,sala
aviation,aviación
alterné,suplente
diagramme,tabla
se oppose,se opone
Inscription,registro
robe,vestido
cohérence,consistencia
infructueux,infructuoso
tubes,tubería
louange,alabanza
formes,formas
24 bits,24 bits
Brooklyn,Brooklyn
annonceurs,anunciante
leçons,lecciones
symptômes,síntomas
cacher,ocultar
physiquement,físicamente
fréquences,frecuencias
croisière,crucero
PBX,PBX
La France,La France
Chapelle,capilla
Éditeur,editor
Broadway,Broadway
Chiffre d'affaires,Facturación
Fixé,fijo
cadran,marcar
initiatives,iniciativas
acteurs,emitir
équilibré,equilibrado
comprimé,tableta
Chancelier,canciller
assurance,seguro
TIFF,TIFF
obstacles,obstáculos
pendre,caída
de laisser,dejar
Si,si
Anciens combattants,Veteranos
tarifs,tasas
Haut-parleur,Altavoz
inondation,inundación
Colombien,colombiano
jeton,muestra
évacué,evacuado
programmable,programable
Jardin,jardín
don,regalo
Construction,edificio
Prix,precio
sponsor,patrocinador
apartheid,segregación racial
Laisser,dejar
répondeur,contestador automático
Nissan,Nissan
engagés,ocupado
librement,libre
cigarettes,cigarrillos
fiducies,Fideicomisos
SNMP,SNMP
réception,recibo
marin,marina
survenir,ocurrir
run-time,en tiempo de ejecución
réservoir,tanque
Aérospatial,aeroespacial
chance,oportunidad
traitance,Externalización
souvenirs,recuerdos
barré,prohibido
visualisation,visualización
En outre,Adicionalmente
épaule,hombro
Mo,Mo
Guinness,Guinness
corrigé,corregido
approvisionnement,obtención
franchise,franquicia
vérifier,chequeo
souscription,suscripción
lucratif,lucrativo
résister,resistir
revenus,ganancias
se réfère,se refiere
descriptions,descripciones
reconnaître,reconocer
connecteurs,conectores
précipité,precipitar
brûler,quemar
impair,impar
codage,codificación
cadeaux,regalos
géométrie,geometría
Coca Cola,Coca Cola
Niveau,nivel
audacieux,audaz
Businessland,Businessland
justifiée,justificado
portait,llevaba
Papier,papel
défilé,desfile
avortements,abortos
trois jours,tres días
automatiser,automatizar
Higgins,Higgins
confidentiel,confidencial
menacer,amenazar
récemment,recientemente
contraire,contrario
défaut,criticar
champion,campeón
kidnappé,secuestrado
aimé,amado
Les procureurs,Los fiscales
Duc,duque
plus récent,más reciente
liquidité,liquidez
confiné,confinado
Roh,Roh
Ali,Ali
Funérailles,funeral
adversaire,adversario
viol,violación
flammes,llamas
arrivée,llegada
négatif,negativo
Logique,lógica
journal,revista
récupération,recuperación
optimale,Optimal
numérique,digital
colère,ira
gouverneurs,Gobernadores
illustré,ilustrado
jambes,piernas
discours,discurso
Les critiques,Los críticos
Juan,Juan
sans risque,sin peligro
copié,copiado
similaire,similar
SPARC,SPARC
Leonard,Leonard
inclusion,inclusión
diapositives,diapositivas
moins,menos
Irving,Irving
Belge,belga
certificat,certificado
salle d'audience,sala de justicia
Exploitation minière,minería
Exposition,exposición
colonies,colonias
réalisation,logro
humains,humano
concurrent,competidor
il ya un an,Hace un año
éditions,ediciones
Maître,maestro
Sri,Sri
observation,observación
compatibles,compatible
océan,océano
prévenir,advertir
pousse,disparar
travail,laboral
terrible,terrible
Obligations,obligaciones
pierre,piedra
exil,exilio
stockage,almacenamiento
fin de l'année,fin de año
dommageable,perjudicial
Océan,océano
comparant,comparar
de façon routinière,rutinariamente
déréglementation,desregulación
distingué,distinguido
synthèse,síntesis
frappé,herido
bouteilles,botellas
Henderson,Henderson
Geai,arrendajo
finances,finanzas
supermarché,supermercado
sauvetage,rescate
Supérieur,superior
Clientèle,Clientes
septième,séptimo
bas niveau,bajo
théories,Teorías
autonome,autónomo
poche,bolsillo
Aller,ir
condamné,condenado
Jeffrey,Jeffrey
Avenir,Próximamente
COUR,TRIBUNAL
diesel,diesel
souhaitable,deseable
exploiter,explotar
bandes,bandas
plus proche,más cerca
entrée,entrada
orienté,orientado
rotation,rotación
repas,comida
sous,bajo
réaction,reacción
ceinture,cinturón
Castro,Castro
avant-première,preestreno
soutenir,sostener
Vainqueur,ganador
survenant,ocurriendo
mourant,moribundo
coupon,cupón
rejet,rechazo
tutoriel,tutorial
socialiste,socialista
Lieu,lugar
appartenir,pertenecer
anticipation,anticipación
Del,del
Cos,cos
tôt,temprano
sortes,tipos
Nebraska,Nebraska
McDonald,McDonald
souffla,susurrado
héros,héroe
élimination,eliminación
quantum,cuántico
écaillage,escalada
hybride,híbrido
Politburo,Politburó
De Compaq,Compaq
correspondant,amigo por correspondencia
Keating,Keating
fermes,granjas
résonance,resonancia
CNRC,NRC
AMD,AMD
bouche,boca
exemption,exención
compenser,offset
racket,raqueta
cour,corte
recueil,colección
Façon,camino
VPC,VPC
Alex,Alex
parcs,parques
prédiction,predicción
découlant,desde
examen,revisión
comprend,incluye
optimum,óptimo
Francis,Francis
Usine,fábrica
ramasser,recoger
réservation,reserva
récepteur,receptor
scellé,sellado
Orange,naranja
entrepris,emprendido
v,v
chasse,caza
personnaliser,personalizar
Urbain,urbano
faculté,facultad
crème,crema
Minn,Minn
bois,madera
prêter,préstamo
unifiée,Unified
NFS,NFS
filiale,filial
points,puntos
missions,misiones
Éloigné,remoto
participé,participado
électrons,electrones
téléphones,móviles
bébés,bebés
tueur,asesino
poutres,vigas
abordable,asequible
coulé,emitir
pendaison,colgante
trompeur,engañoso
Tamil,Tamil
Chasse,caza
inhérent,inherente
CAMO,OMB
DRAM,DRAM
fermement,firmemente
charte,carta
passe,pasar
supraconducteur,superconductor
déplacement,movimiento
épeler,deletrear
jeux d'argent,juego
repose,basado
Sélectionner,seleccionar
assume,asume
briefing,sesión de información
Grand,gran
discontinué,discontinuado
sélectif,selectivo
SX,SX
provinces,provincias
grille,cuadrícula
explosifs,explosivos
vêtements,ropa
Faillite,quiebra
Centres,centros
Brooks,Brooks
limitation,limitación
bénéficiaires,beneficiarios
cercle,círculo
dynamique,dinámica
construit,construido
exclu,excluidos
Irakiens,iraquíes
centrée,centrado
dossier,registro
TWA,TWA
voisin,vecino
hypothèses,supuestos
faisabilité,factibilidad
évalué,evaluado
Reine,reina
aveugle,ciego
heureux,feliz
fax,fax
ACM,ACM
vol,vuelo
allié,aliado
contre,contra
retraite,jubilación
swing,columpio
Quartier,barrio
transit,tránsito
marijuana,marijuana
enregistrement,registrarse
automne,otoño
filles,Chicas
visiteur,visitante
pèse,pesa
Quattro,Quattro
organisationnel,organizativo
recyclage,reciclaje
XT,XT
laboratoires,laboratorios
fr,fr
bétail,ganado
soins de santé,cuidado de la salud
compétitivité,competitividad
livre,libro
peint,pintado
respectif,respectivo
beauté,belleza
fabrique,fábrica
Voix,voz
deuxième,segundo
tunnel,túnel
non autorisé,no autorizado
indéterminé,sin especificar
Sacramento,Sacramento
Pete,Pete
abus,abuso
espaces,espacios
Imprimer,imprimir
symbolique,simbólico
déroulant,soltar
bénéficié,beneficiado
églises,iglesias
fracture,fractura
Déchets,residuos
inspiré,inspirado
FoxPro,FoxPro
Inférieur,inferior
choc,choque
Garcia,García
Martinez,Martínez
Développeurs,Desarrolladores
gérée par l'Etat,estatal
fosse,pozo
glissement,resbalón
caractères,impresión
simplifier,simplificar
simulé,simulado
unité de,unidad
paysage,paisaje
optimisé,optimizado
Tandem,tándem
phrase,frase
Appareils,dispositivos
révèle,revela
plus profond,más adentro
collision,colisión
exhorter,instar
tendance,tendencia
traitement,tratamiento
bonus,prima
tailler,ciruela pasa
Égyptien,egipcio
isolement,aislamiento
casino,casino
cria,-exclamó
faune,fauna
souillé,sucia
Qui,que
À moins que,A menos que
opposant,adversario
doux,dulce
humide,mojado
roi,rey
drôle,divertido
Tout le monde,Todo el mundo
POUR,A
Vermont,Vermont
49ers,49ers
muscle,músculo
commerce,comercio
sponsors,patrocinadores
Consultatif,asesor
largement,extensamente
enregistreur,grabadora
piles,batería
crime,crimen
lourd,pesado
Paume,palma
édité,editado
médecin,médico
la,ya está
Nuit,noche
Réserves,Stocks
ajouts,Adiciones
parade,desfile
tumeurs,tumores
ours,soportar
allié,aliado
explicite,explícito
greffier,empleado
plaques,placas
haut-parleurs,altavoces
Donc,por lo tanto
Klerk,Klerk
roquettes,cohetes
voyageurs,Los viajeros
chancelier,canciller
jus,jugo
rivage,orilla
MeV,MeV
Kemp,Kemp
De nouveau,de nuevo
Étudiants,estudiantes
marquage,marca
clause,cláusula
loi,ley
conférences,Conferencias
Informix,Informix
DOD,DOD
LocalTalk,LocalTalk
manquant,que falta
illustrer,ilustrar
cuisine,cocina
Aoun,Aoun
nuage,nube
toujours,siempre
fenêtrage,ventanas
à longue portée,de largo alcance
assassinat,asesinato
ciment,cemento
Îles,Islas
souffre,sufre
turbine,turbina
tourisme,turismo
emprunteurs,Los prestatarios
Rio,Río
documenté,documentada
portefeuilles,carteras
frustré,frustrado
prononcé,pronunciado
dumping,dumping
collections,Colecciones
projection,proyección
récipient,contenedor
CDollars,CDollars
Newark,Newark
occasion,ocasión
Pérou,Perú
Ben,Ben
Bernard,Bernardo
positionné,posicionado
explosif,explosivo
GTE,GTE
Mitterrand,Mitterrand
exceptions,excepciones
accès,acceso
nationalement,nacionalmente
dégagement,despeje
adolescents,adolescentes
Favoriser,promover
vœux,deseos
attitudes,actitudes
Indépendance,independencia
Travail,Trabajo
EXE,EXE
fluctuations,fluctuaciones
Arrière,trasero
Unix,Unix
la plus longue,más
décomposer,descompostura
personnalité,personalidad
préjugé,prejuicio
existé,existido
poison,tóxico
WYSIWYG,WYSIWYG
Glenn,Glenn
Irvine,Irvine
stimuler,estimular
abaissement,bajar
dissimulation,ocultación
épicerie,tienda de comestibles
dupliquer,duplicar
M,SR
revenus,ganancias
La Californie,California
Nippon,japonés
tuyaux,tubería
BP,BP
La famille de,Familia
deux jours,dos días
formatée,formateado
possible,posible
reconnaît,reconoce
posée,pedido
Cinquième,quinto
bouteille,botella
cubique,cúbico
Cerf,ciervo
évitant,evitando
anticiper,anticiparse
Le long de,A lo largo de
expressions,expresiones
tête,cabeza
contraintes,restricciones
de procédure,procesal
Accord,acuerdo
doublé,doble
générations,generaciones
grand,gran
décide,decide
bande vidéo,cinta de video
Entre,entre
Nomura,Nomura
intentions,intenciones
Ambassadeur,embajador
de réduction des coûts,reducción de costos
apparitions,apariciones
habillé,vestido
boisseaux,bushels
commenté,comentado
durée,duración
endossement,endoso
figuré,figurado
VP,VP
rendez-vous,nombramiento
Désert,desierto
conclut,concluye
décret,decreto
sanglant,sangriento
garde,guardia
client-serveur,cliente-servidor
mères,madres
enquêtes,Investigaciones
NetBIOS,NetBIOS
Indianapolis,Indianápolis
techniciens,técnicos
d'entrée de gamme,entrada
Temps,tiempo
Coté en bourse,Traded
instabilité,inestabilidad
réagi,respondido
élémentaire,elemental
Jeux,Juegos
dissident,disidente
artillerie,artillería
clairière,claro
shareware,shareware
mess,lío
récompense,recompensa
régime,régimen
tours,torres
frustration,frustración
Traité,procesado
Rico,Rico
Keith,Keith
reconnaît,reconoce
planté,plantado
dégradation,degradación
autonomie,autonomía
diffusion,radiodifusión
Municipal,municipal
IC,IC
souligner,estrés
Opéra,ópera
Finalement,finalmente
Rapports,relaciones
titulaire,titular
Facilité,facilidad
Jeanne,Jane
crédité,acreditado
palais,palacio
haine,odio
soumissionnaires,Oferentes
fibre optique,fibra óptica
irradié,irradiado
multitraitement,multiprocesamiento
tout à fait,bastante
duré,durado
Direct,directo
suffisamment,suficiente
réagir,reaccionar
Abu,Abu
Westinghouse,Westinghouse
DR,DR
vieilli,anciano
Indonésie,Indonesia
au point mort,estancado
basket-ball,baloncesto
multifournisseurs,multivendor
varie,varía
stimuler,estimular
bidimensionnel,bidimensional
Expo,Expo
Classique,clásico
20,20
éclairage,iluminación
écrasé,aplastado
administrateur,administrador
fret,flete
terroristes,terroristas
distribution,distribución
dur,duro
enthousiaste,entusiasta
l'homme de,humano
lointain,distante
répondre,responder
Marlin,aguja
inspections,inspecciones
Mexique,México
Olivetti,Olivetti
substances,sustancias
compressions,recortes
chimie,química
adéquatement,correctamente
Burlington,Burlington
Texte,texto
la mise en cache,Caching
rembourser,pagar
coordonnées,información del contacto
neural,neural
révision,revisión
célébration,celebración
mégaoctet,megabyte
tragédie,tragedia
Faune,fauna
traduit,traducido
Sierra,sierra
concède,subvenciones
Finlande,Finlandia
exporté,exportado
Ingénieurs,Ingenieros
Les vendeurs,Los vendedores
en quelque sorte,tipo de
bureaucratie,burocracia
tué,montón
tiges,varillas
anneaux,anillos
Enquête,investigación
terrassant,asesinato
foules,multitudes
militants,activistas
noyaux,piedras
Venezuela,Venezuela
Neil,Neil
arbitraire,arbitrario
Cupertino,Cupertino
membre du Congrès,congresista
livraisons,entregas
pratique,práctica
Arnold,Arnold
Stearns,Stearns
examen minutieux,escrutinio
Maj,cambio
écoute,escucha
accélérer,acelerar
Dynamique,dinámica
clinique,clínica
Danemark,Dinamarca
Prudential Bache-,Prudential Bache-
Chutes,Chutes
dame,dama
conseil d'administration de,Junta Directiva
protecteur,protector
Bakker,Bakker
plaies,heridas
interdit,prohibido
célèbre,famoso
Européens,europeo
Fax,fax
intuitif,intuitivo
Poisson,pescado
révolutionnaire,revolucionario
érosion,erosión
complément,complemento
Vendeur,vendedor
Hanovre,Hanover
Taux,tarifa
mariage,matrimonio
blessant,hiriente
confort,comodidad
UPS,UPS
Andersen,Andersen
attire,dibuja
mérite,mérito
vue d'ensemble,visión de conjunto
Personne,nadie
surmonté,superar
imminent,inminente
Spencer,Spencer
Ls,ls
capitulation,capitulación
Milan,cometa
Nobel,Nobel
capacités,capacidad
traversée,cruce
Monétaire,monetario
démontre,espectáculos
supprimé,eliminado
miroir,espejo
associations,asociaciones
lasers,láseres
alliages,aleaciones
motivé,motivado
transformer,transformar
annuler,cancelar
accumulé,acumulado
assuré,asegurado
Michel,Michel
La Pologne,Polonia
conscience,conciencia
pratiquement,prácticamente
flash,flash
libération,liberación
Powell,Powell
forêts,Bosques
Bradley,Bradley
probation,libertad condicional
influence,influencia
percée,ruptura
alliances,alianzas
rencontre,reunión
Détails,Detalles
électronique,electrónico
alimentation,suministro
L'Italie,Italia
baie,bahía
Mario,Mario
Revenu,ingresos
équitation,equitación
insecte,insecto
sismique,sísmico
télécharger,descargar
à côté de,cerca de
avertit,advierte
relais,relé
volatilité,volatilidad
accouplement,enganche
Question,problema
épisode,episodio
verrouillage,cierre
Finale,final
simuler,simular
Pays de Galles,Gales
activé,activado
IRM,MRI
emballé,empacado
exempt,exento
calcul,cálculo
renforcé,consolidado
multinational,multinacional
glissé,deslizamiento
fournisseur,proveedor
affirmé,seguro
à paire torsadée,Par Trenzado
bords,bordes
clones,clones
jouets,juguetes
Rochester,Rochester
sodium,sodio
Soins,cuidado
Valdez,Valdez
Union de,unión
probablement,probablemente
alimentée,motorizado
juridiction,jurisdicción
Deutsche,Deutsche
égaux,igual
attaquer,ataque
troupe,compañía
bouquet,ramo
80,80
empêche,previene
De Digital,digital
coordination,coordinación
Salinas,Salinas
CGA,CGA
conversations,conversaciones
Mondial,mundial
assistée,energía
panique,pánico
Ford,vado
Milwaukee,Milwaukee
Basée à Chicago,Con sede en Chicago
ppm,ppm
Foyer,casa
distinction,distinción
sein,pecho
appellation,denominación
invitation,invitación
gamma,gama
approximation,aproximación
constituer,constituir
produit de,producto
avocat,abogado
approfondi,minucioso
Thornburgh,Thornburgh
artisanat,arte
Formation,entrenamiento
légumes,verduras
Limité,limitado
rassemblements,reuniones
Madrid,Madrid
dissidents,disidentes
mis en évidence,destacado
nickel,níquel
en permanence,permanentemente
totaux,totales
remplissant,relleno
conglomérat,conglomerado
Mae,Mae
tampon,buffer
inconvénient,desventaja
gènes,genes
équilibre,equilibrio
Ville,ciudad
probabilité,probabilidad
influent,influyente
Malaisie,Malasia
agrafe,presilla
campagne,campaña
invention,invención
Le,la
déception,decepción
avions,aviones
tennis,tenis
signature,firma
Les consommateurs,Los consumidores
fierté,orgullo
bas,bajo
psychologique,psicológico
Acheteurs,Los compradores
À base de 80 386,En la base 80386
enveloppe,envoltura
compétence,competencia
inspecteurs,inspectores
obstacle,obstáculo
asile,asilo
Vrai,real
honnête,honesto
quartiers,barrios
huitième,octavo
poursuivre en justice,demandar
SAS,SAS
agréé,certificado
Enfants,niños
insuffisant,insuficiente
Heureusement,afortunadamente
doux,dulce
se conformer,ajustarse
restructurer,reestructurar
Représentants,Representantes
Max,Max
En jean,vaquero
vouloir,querer
admission,admisión
assureur,asegurador
surveillance,vigilancia
grave,grave
Nashville,Nashville
coordinateur,coordinador
opportun,oportuno
Lacs,Lagos
amiante,amianto
simulations,simulaciones
Barclays,Barclays
Festival,festival
Fidélité,lealtad
élaboration de la réglementation,Desarrollo Regulatorio
Aimer,Quiéralo
Faire,hacer
calculé,calculado
accueillis,bienvenida
Juste,derecho
Marxiste,marxista
détecteurs,detectores
Orlando,Orlando
fin,fin
ciel,cielo
entièrement,enteramente
Qualité,calidad
Z,Z
fils,hijo
boissons,bebidas
organisateurs,organizadores
favoriser,promover
inséré,insertado
compagnon,compañero
conseiller,tutor
nécessité,necesitar
appréciation,apreciación
avantageux,ventajoso
défini par l'utilisateur,definida por el usuario
bénévole,voluntario
poste,posición
restauration,restauración
compiler,compilar
réitéré,reiterado
parlé,hablada
sans rapport,desconectado
Maçon,albañil
Meule,piedra de amolar
triple,triple
CDC,CDC
tarte,pastel
réalisation,logro
extérieur,exterior
frappes,huelgas
trêve,tregua
fou,loco
extrait,extracto
qu'ils avaient,ellos
activation,activación
radicaux,radicales
Centre,centro
ISA,ISA
enfant,niño
Brésil,Brasil
Primordial,primario
LaserWriter,LaserWriter
débris,escombros
oxydation,oxidación
analyse,análisis
émeutes,Los disturbios
anxieux,ansioso
nez,nariz
incitation,incitación
raide,empinado
moindre,menor
conséquence,resultado
normalisée,estandarizado
amovible,desmontable
TI,informática
nuits,noches
appelants,Las personas que llaman
Dayton,Dayton
partition,tabique
restriction,restricción
accélération,aceleración
renversé,revertido
réflexion,reflexión
allègue,alega
châssis,chasis
mat,mate
Chili,Chile
platine,platino
nourrisson,infantil
Lima,Lima
marginal,marginal
Simmons,Simmons
24 heures,24 horas
Ind,Ind
Déjà,ya
superviser,supervisar
policiers,policía
once,onza
orthographe,ortografía
diviser,divisoria
rats,ratas
après impôt,después de impuestos
éventuelle,posible
charité,caridad
placement,inversión
rétréci,estrechado
Communication,comunicación
Dehors,fuera
pâte,masa
baux,Arrendamientos
raffiné,refinado
notable,notable
en bois,madera
Witter,Witter
Rien,nada
au jour le jour,día a día
élégant,elegante
BT,BT
Sydney,Sydney
couples,parejas
scans,exploraciones
midi,mediodía
salle de classe,aula
Fed,Fed
Avion,avión
90,90
astuce,truco
Saatchi,Saatchi
munitions,munición
Mlle,Sra
Rouge-gorge,Petirrojo
durable,de larga duración
MM,MM
persuadé,convencido
transfert,transferencia
réglementé,regulado
Stuart,Stuart
mémorial,memorial
triste,triste
configurer,configurar
malheureux,desgraciado
